points,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,home_team,team_long_name1
0,1583,9985,10000,2,1,1,2015/2016,SV Zulte-Waregem,Standard de Liège
3,1584,1773,8635,0,2,1,2015/2016,RSC Anderlecht,Oud-Heverlee Leuven
3,1585,8342,8635,1,4,1,2015/2016,RSC Anderlecht,Club Brugge KV
0,1586,9991,8571,3,0,1,2015/2016,KV Kortrijk,KAA Gent
0,1587,9987,9997,3,0,1,2015/2016,Sint-Truidense VV,KRC Genk
0,1588,8573,9985,4,1,1,2015/2016,Standard de Liège,KV Oostende
3,1589,274581,8475,0,1,1,2015/2016,Waasland-Beveren,Royal Excel Mouscron
1,1590,9994,10000,1,1,1,2015/2016,SV Zulte-Waregem,Sporting Lokeren
0,1591,1773,8203,3,1,1,2015/2016,KV Mechelen,Oud-Heverlee Leuven
0,1592,10001,9986,2,1,1,2015/2016,Sporting Charleroi,KVC Westerlo
0,1593,8635,10001,2,1,1,2015/2016,KVC Westerlo,RSC Anderlecht
0,1594,9985,274581,3,0,1,2015/2016,Royal Excel Mouscron,Standard de Liège
0,1595,8203,9991,2,0,1,2015/2016,KAA Gent,KV Mechelen
0,1596,10000,8573,1,0,1,2015/2016,KV Oostende,SV Zulte-Waregem
3,1597,8571,8342,1,4,1,2015/2016,Club Brugge KV,KV Kortrijk
0,1598,9986,9987,1,0,1,2015/2016,KRC Genk,Sporting Charleroi
3,1599,8475,9994,2,3,1,2015/2016,Sporting Lokeren,Waasland-Beveren
1,1600,9997,1773,2,2,1,2015/2016,Oud-Heverlee Leuven,Sint-Truidense VV
0,1601,8342,274581,3,0,1,2015/2016,Royal Excel Mouscron,Club Brugge KV
0,1602,9991,8635,2,0,1,2015/2016,RSC Anderlecht,KAA Gent
0,1603,9987,10000,2,1,1,2015/2016,SV Zulte-Waregem,KRC Genk
1,1604,8573,8475,3,3,1,2015/2016,Waasland-Beveren,KV Oostende
3,1605,9994,9985,0,2,1,2015/2016,Standard de Liège,Sporting Lokeren
1,1606,9986,9997,0,0,1,2015/2016,Sint-Truidense VV,Sporting Charleroi
0,1607,1773,8571,1,0,1,2015/2016,KV Kortrijk,Oud-Heverlee Leuven
0,1608,10001,8203,3,2,1,2015/2016,KV Mechelen,KVC Westerlo
0,1609,8635,9986,2,1,1,2015/2016,Sporting Charleroi,RSC Anderlecht
3,1610,9985,9991,0,3,1,2015/2016,KAA Gent,Standard de Liège
1,1611,8203,9987,1,1,1,2015/2016,KRC Genk,KV Mechelen
1,1612,10000,1773,2,2,1,2015/2016,Oud-Heverlee Leuven,SV Zulte-Waregem
1,1613,274581,9994,1,1,1,2015/2016,Sporting Lokeren,Royal Excel Mouscron
0,1614,8571,8573,2,1,1,2015/2016,KV Oostende,KV Kortrijk
3,1615,8475,8342,1,2,1,2015/2016,Club Brugge KV,Waasland-Beveren
3,1616,9997,10001,1,2,1,2015/2016,KVC Westerlo,Sint-Truidense VV
0,1617,8342,9994,2,1,1,2015/2016,Sporting Lokeren,Club Brugge KV
0,1618,9991,8475,2,1,1,2015/2016,Waasland-Beveren,KAA Gent
0,1619,9987,8571,1,0,1,2015/2016,KV Kortrijk,KRC Genk
1,1620,8573,274581,3,3,1,2015/2016,Royal Excel Mouscron,KV Oostende
0,1621,9986,8203,3,2,1,2015/2016,KV Mechelen,Sporting Charleroi
3,1622,1773,9985,0,2,1,2015/2016,Standard de Liège,Oud-Heverlee Leuven
3,1623,10001,10000,1,2,1,2015/2016,SV Zulte-Waregem,KVC Westerlo
3,1624,9997,8635,1,2,1,2015/2016,RSC Anderlecht,Sint-Truidense VV
0,1625,8342,9991,1,0,1,2015/2016,KAA Gent,Club Brugge KV
3,1626,9985,9997,1,2,1,2015/2016,Sint-Truidense VV,Standard de Liège
1,1627,8203,8635,2,2,1,2015/2016,RSC Anderlecht,KV Mechelen
3,1628,10000,9986,2,3,1,2015/2016,Sporting Charleroi,SV Zulte-Waregem
3,1629,274581,9987,0,1,1,2015/2016,KRC Genk,Royal Excel Mouscron
3,1630,9994,8573,0,1,1,2015/2016,KV Oostende,Sporting Lokeren
1,1631,8571,10001,1,1,1,2015/2016,KVC Westerlo,KV Kortrijk
1,1632,8475,1773,2,2,1,2015/2016,Oud-Heverlee Leuven,Waasland-Beveren
0,1633,8635,10000,3,0,1,2015/2016,SV Zulte-Waregem,RSC Anderlecht
0,1634,9991,274581,2,0,1,2015/2016,Royal Excel Mouscron,KAA Gent
0,1635,9987,8475,6,1,1,2015/2016,Waasland-Beveren,KRC Genk
3,1636,8573,8342,0,2,1,2015/2016,Club Brugge KV,KV Oostende
