win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
1,15541,8611,9908,3,1,13274,2015/2016,FC Twente,FC Utrecht
3,15542,10218,8525,0,0,13274,2015/2016,Excelsior,Willem II
3,15543,10217,9803,2,2,13274,2015/2016,ADO Den Haag,Roda JC Kerkrade
2,15544,10228,8611,1,3,13274,2015/2016,SC Heerenveen,FC Twente
1,15545,10229,8277,1,0,13274,2015/2016,AZ,Vitesse
1,15546,9791,6413,2,0,13274,2015/2016,Heracles Almelo,PEC Zwolle
1,15547,8593,10235,2,1,13274,2015/2016,Ajax,Feyenoord
3,15548,8526,8464,1,1,13274,2015/2016,De Graafschap,N.E.C.
1,15549,8674,7788,2,0,13274,2015/2016,FC Groningen,SC Cambuur
2,15550,9908,8640,0,2,13274,2015/2016,FC Utrecht,PSV
2,15551,7788,9908,0,2,13274,2015/2016,SC Cambuur,FC Utrecht
2,15552,9791,10229,3,6,13274,2015/2016,Heracles Almelo,AZ
3,15553,8525,8526,0,0,13274,2015/2016,Willem II,De Graafschap
2,15554,9803,8611,0,1,13274,2015/2016,Roda JC Kerkrade,FC Twente
1,15555,8277,10228,3,0,13274,2015/2016,Vitesse,SC Heerenveen
2,15556,8674,8593,1,2,13274,2015/2016,FC Groningen,Ajax
1,15557,6413,10235,3,1,13274,2015/2016,PEC Zwolle,Feyenoord
2,15558,10218,10217,2,4,13274,2015/2016,Excelsior,ADO Den Haag
2,15559,8464,8640,0,3,13274,2015/2016,N.E.C.,PSV
2,15560,10217,6413,0,2,13274,2015/2016,ADO Den Haag,PEC Zwolle
1,15561,10229,8674,4,1,13274,2015/2016,AZ,FC Groningen
3,15562,10228,8464,1,1,13274,2015/2016,SC Heerenveen,N.E.C.
1,15563,8640,9791,2,0,13274,2015/2016,PSV,Heracles Almelo
1,15564,8611,7788,3,0,13274,2015/2016,FC Twente,SC Cambuur
3,15565,10235,9803,1,1,13274,2015/2016,Feyenoord,Roda JC Kerkrade
1,15566,9908,8525,2,1,13274,2015/2016,FC Utrecht,Willem II
1,15567,8593,10218,3,0,13274,2015/2016,Ajax,Excelsior
3,15568,8526,8277,2,2,13274,2015/2016,De Graafschap,Vitesse
1,15569,10218,8464,2,0,13274,2015/2016,Excelsior,N.E.C.
1,15570,8611,8674,2,0,13274,2015/2016,FC Twente,FC Groningen
1,15571,7788,6413,1,0,13274,2015/2016,SC Cambuur,PEC Zwolle
1,15572,8640,10217,2,0,13274,2015/2016,PSV,ADO Den Haag
2,15573,8277,8525,0,1,13274,2015/2016,Vitesse,Willem II
2,15574,9791,9803,0,5,13274,2015/2016,Heracles Almelo,Roda JC Kerkrade
2,15575,8526,10228,0,1,13274,2015/2016,De Graafschap,SC Heerenveen
2,15576,9908,10235,1,2,13274,2015/2016,FC Utrecht,Feyenoord
1,15577,8593,10229,4,1,13274,2015/2016,Ajax,AZ
1,15578,10217,8611,2,1,13274,2015/2016,ADO Den Haag,FC Twente
1,15579,6413,8526,2,1,13274,2015/2016,PEC Zwolle,De Graafschap
1,15580,10229,10218,2,0,13274,2015/2016,AZ,Excelsior
2,15581,8674,8640,0,3,13274,2015/2016,FC Groningen,PSV
2,15582,10228,9908,0,4,13274,2015/2016,SC Heerenveen,FC Utrecht
1,15583,8464,9791,1,0,13274,2015/2016,N.E.C.,Heracles Almelo
2,15584,8525,8593,0,4,13274,2015/2016,Willem II,Ajax
2,15585,9803,8277,1,2,13274,2015/2016,Roda JC Kerkrade,Vitesse
1,15586,10235,7788,3,1,13274,2015/2016,Feyenoord,SC Cambuur
1,15587,8526,9803,3,0,13274,2015/2016,De Graafschap,Roda JC Kerkrade
2,15588,8525,10229,0,2,13274,2015/2016,Willem II,AZ
3,15589,8640,10228,1,1,13274,2015/2016,PSV,SC Heerenveen
1,15590,8611,6413,2,1,13274,2015/2016,FC Twente,PEC Zwolle
1,15591,10218,8674,2,1,13274,2015/2016,Excelsior,FC Groningen
3,15592,9908,10217,2,2,13274,2015/2016,FC Utrecht,ADO Den Haag
1,15593,9791,7788,3,1,13274,2015/2016,Heracles Almelo,SC Cambuur
2,15594,8277,10235,0,2,13274,2015/2016,Vitesse,Feyenoord
