win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
2,10029,9904,9823,0,1,7809,2015/2016,Hannover 96,FC Bayern Munich
1,10030,8177,9905,2,0,7809,2015/2016,Hertha BSC Berlin,1. FSV Mainz 05
2,10031,8234,8178,0,1,7809,2015/2016,FC Ingolstadt 04,Bayer 04 Leverkusen
2,10032,10189,8697,1,3,7809,2015/2016,FC Schalke 04,SV Werder Bremen
2,10033,9788,9789,1,3,7809,2015/2016,Borussia Mönchengladbach,Borussia Dortmund
2,10034,9790,9823,1,2,7809,2015/2016,Hamburger SV,FC Bayern Munich
1,10035,9810,8721,3,2,7809,2015/2016,Eintracht Frankfurt,VfL Wolfsburg
2,10036,8722,10269,1,3,7809,2015/2016,1. FC Köln,VfB Stuttgart
2,10037,9904,8262,1,2,7809,2015/2016,Hannover 96,SV Darmstadt 98
3,10038,8177,8406,0,0,7809,2015/2016,Hertha BSC Berlin,FC Augsburg
3,10039,8226,8178,1,1,7809,2015/2016,TSG 1899 Hoffenheim,Bayer 04 Leverkusen
1,10040,8234,9905,1,0,7809,2015/2016,FC Ingolstadt 04,1. FSV Mainz 05
1,10041,9823,8226,2,0,7809,2015/2016,FC Bayern Munich,TSG 1899 Hoffenheim
1,10042,9789,8234,2,0,7809,2015/2016,Borussia Dortmund,FC Ingolstadt 04
1,10043,8178,9904,3,0,7809,2015/2016,Bayer 04 Leverkusen,Hannover 96
3,10044,8721,8722,1,1,7809,2015/2016,VfL Wolfsburg,1. FC Köln
1,10045,10269,9790,2,1,7809,2015/2016,VfB Stuttgart,Hamburger SV
3,10046,8406,9810,0,0,7809,2015/2016,FC Augsburg,Eintracht Frankfurt
3,10047,8697,8177,3,3,7809,2015/2016,SV Werder Bremen,Hertha BSC Berlin
1,10048,9905,9788,1,0,7809,2015/2016,1. FSV Mainz 05,Borussia Mönchengladbach
2,10049,8262,10189,0,2,7809,2015/2016,SV Darmstadt 98,FC Schalke 04
3,10050,10189,8262,1,1,7809,2015/2016,FC Schalke 04,SV Darmstadt 98
2,10051,9788,9905,1,2,7809,2015/2016,Borussia Mönchengladbach,1. FSV Mainz 05
1,10052,9790,10269,3,2,7809,2015/2016,Hamburger SV,VfB Stuttgart
3,10053,9810,8406,1,1,7809,2015/2016,Eintracht Frankfurt,FC Augsburg
3,10054,8722,8721,1,1,7809,2015/2016,1. FC Köln,VfL Wolfsburg
2,10055,9904,8178,0,1,7809,2015/2016,Hannover 96,Bayer 04 Leverkusen
3,10056,8177,8697,1,1,7809,2015/2016,Hertha BSC Berlin,SV Werder Bremen
2,10057,8226,9823,1,2,7809,2015/2016,TSG 1899 Hoffenheim,FC Bayern Munich
2,10058,8234,9789,0,4,7809,2015/2016,FC Ingolstadt 04,Borussia Dortmund
1,10059,10189,8721,3,0,7809,2015/2016,FC Schalke 04,VfL Wolfsburg
3,10060,8178,9823,0,0,7809,2015/2016,Bayer 04 Leverkusen,FC Bayern Munich
1,10061,9788,8697,5,1,7809,2015/2016,Borussia Mönchengladbach,SV Werder Bremen
